"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"28.03.2021","1,189546","1,176711","1,219066","1,167361","394,82M","1,08%"
"27.03.2021","1,176785","1,214468","1,237017","1,157739","474,01M","-3,10%"
"26.03.2021","1,214457","1,096385","1,285602","1,095453","1,05B","10,76%"
"25.03.2021","1,096429","1,067662","1,147186","1,048504","699,56M","2,45%"
"24.03.2021","1,070167","1,115114","1,163537","1,040072","499,18M","-4,14%"
"23.03.2021","1,116343","1,102994","1,172833","1,082002","562,87M","1,17%"
"22.03.2021","1,103464","1,186177","1,207608","1,080014","611,13M","-7,02%"
"21.03.2021","1,186839","1,200454","1,241073","1,160777","514,59M","-1,13%"
"20.03.2021","1,200409","1,295849","1,308095","1,200311","658,17M","-7,37%"
"19.03.2021","1,295932","1,231269","1,341873","1,183538","1,26B","5,26%"
"18.03.2021","1,231230","1,377636","1,471938","1,224661","2,04B","-10,61%"
"17.03.2021","1,377406","1,249272","1,428258","1,204458","1,64B","10,26%"
"16.03.2021","1,249261","1,030562","1,263173","1,001835","1,77B","21,18%"
"15.03.2021","1,030954","1,055232","1,070274","1,001102","657,33M","-2,29%"
"14.03.2021","1,055119","1,101274","1,101913","1,055119","553,68M","-4,19%"
"13.03.2021","1,101309","1,032086","1,187990","0,988142","977,08M","6,71%"
"12.03.2021","1,032050","1,124343","1,127044","1,029758","642,18M","-8,19%"
"11.03.2021","1,124155","1,133355","1,138997","1,108931","477,61M","-0,79%"
"10.03.2021","1,133092","1,197082","1,206864","1,118046","626,55M","-5,35%"
"09.03.2021","1,197200","1,118474","1,218388","1,112578","898,49M","7,04%"
"08.03.2021","1,118466","1,131434","1,177986","1,106716","625,53M","-1,19%"
"07.03.2021","1,131882","1,129369","1,144386","1,107014","445,10M","0,25%"
"06.03.2021","1,129016","1,158277","1,181553","1,086688","757,08M","-2,52%"
"05.03.2021","1,158227","1,112463","1,195702","1,037863","1,31B","4,11%"
"04.03.2021","1,112490","1,214405","1,229926","1,068434","1,10B","-8,39%"
"03.03.2021","1,214324","1,224523","1,265522","1,209046","707,02M","-0,84%"
"02.03.2021","1,224643","1,296248","1,298971","1,182334","1,10B","-5,52%"
"01.03.2021","1,296200","1,311820","1,344067","1,233117","1,61B","-0,88%"
"28.02.2021","1,307673","1,316618","1,358473","1,158604","2,49B","-0,68%"
"27.02.2021","1,316575","1,241612","1,484147","1,230460","3,07B","6,04%"
"26.02.2021","1,241585","1,075130","1,294985","0,993046","2,73B","15,48%"
"25.02.2021","1,075170","1,048631","1,173298","1,012847","1,56B","2,58%"
