"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.11.2018","5,10","5,25","5,29","5,09","56,23M","-3,77%"
"29.11.2018","5,30","5,15","5,31","5,05","55,87M","0,76%"
"28.11.2018","5,26","5,17","5,37","5,14","62,41M","0,77%"
"27.11.2018","5,22","4,96","5,23","4,93","46,06M","6,53%"
"26.11.2018","4,90","5,08","5,14","4,89","43,81M","-2,58%"
"23.11.2018","5,03","4,96","5,09","4,96","38,09M","1,62%"
"22.11.2018","4,95","4,80","4,95","4,80","36,06M","2,91%"
"21.11.2018","4,81","4,79","4,86","4,71","29,88M","-0,41%"
"19.11.2018","4,83","4,86","4,89","4,78","21,42M","-0,41%"
"16.11.2018","4,85","4,86","4,88","4,80","43,23M","0,83%"
"14.11.2018","4,81","4,78","4,84","4,63","46,51M","1,26%"
"13.11.2018","4,75","4,80","4,91","4,72","54,57M","0,00%"
"12.11.2018","4,75","4,55","4,82","4,50","53,16M","4,86%"
"09.11.2018","4,53","4,58","4,60","4,43","68,40M","-0,88%"
"08.11.2018","4,57","4,66","4,77","4,57","58,79M","-2,14%"
"07.11.2018","4,67","5,02","5,03","4,51","154,66M","-4,89%"
"06.11.2018","4,91","5,15","5,18","4,86","108,13M","-8,22%"
"05.11.2018","5,35","5,27","5,36","5,21","43,54M","1,71%"
"01.11.2018","5,26","5,26","5,29","5,17","34,86M","0,57%"
"31.10.2018","5,23","5,26","5,32","5,13","37,12M","-0,19%"
"30.10.2018","5,24","5,20","5,25","5,10","53,78M","1,75%"
"29.10.2018","5,15","5,32","5,38","5,06","43,96M","-0,19%"
"26.10.2018","5,16","5,23","5,23","5,09","48,89M","-0,96%"
"25.10.2018","5,21","5,26","5,28","5,11","48,41M","0,19%"
"24.10.2018","5,20","5,26","5,31","5,20","35,34M","-0,57%"
"23.10.2018","5,23","5,14","5,30","5,09","44,91M","1,16%"
"22.10.2018","5,17","5,26","5,39","5,17","45,78M","-1,15%"
"19.10.2018","5,23","5,02","5,32","4,98","61,43M","5,02%"
"18.10.2018","4,98","5,01","5,01","4,92","41,85M","-0,60%"
"17.10.2018","5,01","4,88","5,05","4,83","58,38M","1,62%"
"16.10.2018","4,93","4,74","4,96","4,69","67,73M","6,25%"
"15.10.2018","4,64","4,74","4,80","4,62","42,02M","-0,64%"
"11.10.2018","4,67","4,52","4,70","4,52","66,05M","4,94%"
"10.10.2018","4,45","4,60","4,64","4,45","52,59M","-4,30%"
"09.10.2018","4,65","4,58","4,71","4,54","47,88M","1,09%"
"08.10.2018","4,60","4,61","4,68","4,56","54,42M","4,55%"
"05.10.2018","4,40","4,41","4,46","4,33","66,41M","1,85%"
"04.10.2018","4,32","4,23","4,33","4,13","61,30M","0,23%"
"03.10.2018","4,31","4,24","4,35","4,24","96,15M","6,68%"
"02.10.2018","4,04","3,86","4,06","3,86","55,25M","6,32%"
"01.10.2018","3,80","3,82","3,86","3,75","21,31M","0,26%"
"28.09.2018","3,79","3,82","3,89","3,78","34,51M","-1,30%"
"27.09.2018","3,84","3,82","3,91","3,81","35,97M","1,59%"
"26.09.2018","3,78","3,81","3,87","3,78","39,81M","-0,79%"
"25.09.2018","3,81","3,66","3,87","3,66","31,51M","1,33%"
"24.09.2018","3,76","3,81","3,81","3,71","35,98M","-2,08%"
"21.09.2018","3,84","3,70","3,88","3,68","60,20M","4,63%"
"20.09.2018","3,67","3,78","3,78","3,63","37,64M","-0,27%"
"19.09.2018","3,68","3,81","3,82","3,68","51,95M","-4,42%"
"18.09.2018","3,85","3,67","3,87","3,66","49,16M","4,62%"
"17.09.2018","3,68","3,59","3,69","3,57","28,68M","2,51%"
"14.09.2018","3,59","3,57","3,64","3,54","40,79M","0,56%"
"13.09.2018","3,57","3,72","3,72","3,56","50,00M","-3,51%"
"12.09.2018","3,70","3,74","3,76","3,66","37,23M","0,27%"
"11.09.2018","3,69","3,69","3,75","3,66","31,86M","-2,12%"
"10.09.2018","3,77","3,91","3,94","3,68","62,01M","-2,84%"
"06.09.2018","3,88","3,84","3,90","3,79","36,32M","2,92%"
"05.09.2018","3,77","3,64","3,80","3,62","53,38M","3,29%"
"04.09.2018","3,65","3,92","3,93","3,64","67,10M","-6,89%"
"03.09.2018","3,92","3,99","3,99","3,89","26,43M","-2,73%"
"31.08.2018","4,03","4,02","4,04","3,96","41,66M","2,03%"
"30.08.2018","3,95","4,07","4,14","3,93","39,07M","-3,42%"
"29.08.2018","4,09","4,03","4,13","4,03","46,17M","2,25%"
"28.08.2018","4,00","4,07","4,12","3,92","63,59M","-1,72%"
"27.08.2018","4,07","4,14","4,17","4,05","35,96M","-0,49%"
"24.08.2018","4,09","4,18","4,21","4,06","31,91M","-0,49%"
